MONTH,TYPE,CIRCLE,DIVISION,SUB_DIVISION,SAMPLE,POWEROFF_PREV,KWH_PREV,ESO_PREV,POWEROFF_CURR,KWH_CURR,ESO_CURR,PER_CHANGE
202402,1PH ,VKP,2650,,"75,820",5.40,"96,27,079","71,594",5.90,"1,07,46,233","85,913",9.26%
202402,1PH ,ALN,2510,DDA FLAT KALKAJI,"26,549",1.33,"35,16,115","6,748",2.68,"40,78,100","15,923",101.5%
202402,1PH ,ALN,2510,G-BLOCK KALKAJI,"23,599",1.06,"33,74,084","5,211",2.87,"38,03,037","14,618",170.75%
202402,1PH ,ALN,2510,GK 2,"5,506",1.33,"11,29,912","2,208",1.50,"13,82,283","3,086",12.78%
202402,1PH ,ALN,2510,OKHLA PHASE 1,"12,465",4.28,"13,57,917","10,083",3.90,"15,46,652","9,421",-8.88%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( CWL ),BHARTHAL,"14,796",7.39,"18,59,717","21,712",3.44,"22,30,444","12,033",-53.45%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( CWL ),CHHAWLA,"18,189",10.46,"20,78,738","35,112",7.39,"24,29,103","26,585",-29.35%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( CWL ),SHYAM VIHAR,"28,403",4.22,"35,52,108","21,649",7.22,"41,05,817","41,883",71.09%
202309,1PH ,"KHP, SVR, NFC",2542,OKHLA,"32,345",5.79,"93,59,901","74,313",3.92,"1,03,23,644","55,038",-32.3%
202309,1PH ,MGN,2652,ANAND VIHAR,"27,348",8.42,"70,89,479","85,953",8.44,"78,17,095","96,058",.24%
202309,1PH ,MGN,2652,SEWAK PARK,"32,470",6.75,"87,78,173","81,740",7.58,"97,43,087","99,758",12.3%
202309,1PH ,MGN,2652,VIPIN GARDEN,"15,988",13.92,"37,64,952","74,734",17.61,"40,89,242","1,03,645",26.51%
202309,1PH ,NGL,2630,BAPROLLA,"42,919",4.10,"1,02,87,134","61,337",3.39,"1,12,69,466","55,933",-17.32%
202309,1PH ,NGL,2630,GH-9 PASCHIM VIHAR,"10,388",2.25,"45,86,060","14,715",2.36,"50,09,218","17,217",4.89%
202309,1PH ,NGL,2630,NANGLOI,"42,074",7.68,"1,11,45,364","1,21,691",6.79,"1,21,67,673","1,14,347",-11.59%
202309,1PH ,NGL,2630,UDYOG NAGAR,"6,225",2.88,"16,27,259","6,188",6.77,"17,48,741","16,435",135.07%
202309,1PH ,NHP,2530,GK 1,"6,437",1.98,"24,76,783","6,611",2.34,"25,79,753","8,860",18.18%
202309,1PH ,NHP,2530,LAJPAT NAGAR IV,"17,574",2.51,"61,71,027","21,124",2.09,"66,90,437","19,268",-16.73%
202309,1PH ,NHP,2530,OKHLA IND AREA PH-2 & PH-3,"9,785",3.29,"22,74,259","10,130",2.76,"23,93,597","9,037",-16.11%
202309,1PH ,NZM,2540,DEFENCE COLONY,"2,165",1.69,"8,85,240","1,973",2.91,"9,39,172","3,908",72.19%
202309,1PH ,NZM,2540,JUNG PURA,"11,322",2.32,"37,60,768","11,907",3.50,"39,80,906","19,338",50.86%
202309,1PH ,NZM,2540,KILOKARI,"16,139",4.36,"47,10,969","28,864",1.65,"52,06,934","12,157",-62.16%
202309,1PH ,NZM,2540,LAJPAT NAGAR-2,"13,376",2.55,"46,94,247","15,882",2.19,"51,37,195","15,682",-14.12%
202309,1PH ,NZM,2540,LODHI ROAD,"15,932",2.66,"47,79,170","18,145",3.54,"52,34,497","25,868",33.08%
202309,1PH ,PJB,2640,B 3 PASCHIM VIHAR,"20,110",3.56,"76,91,641","36,512",2.01,"83,67,994","21,663",-43.54%
202309,1PH ,PJB,2640,B BLK KARAMPURA,"10,109",3.56,"33,16,499","16,250",2.61,"36,49,661","12,174",-26.69%
202309,1PH ,PJB,2640,ROAD NO-41 PUNJABI BAGH,"23,297",3.79,"75,12,611","42,051",3.16,"78,56,046","35,769",-16.62%
202309,1PH ,PLM,2660,DABRI,"28,583",5.19,"78,79,049","57,818",3.07,"85,60,915","36,552",-40.85%
202309,1PH ,PLM,2660,KAILASHPURI,"44,865",3.68,"1,18,34,390","62,138",3.61,"1,30,99,508","68,453",-1.9%
202309,1PH ,PLM,2660,MANGLA PURI,"37,591",3.92,"1,10,16,561","57,523",2.14,"1,22,06,078","36,650",-45.41%
202309,1PH ,PLM,2660,SEC-9 DWK,"27,741",5.43,"82,99,265","60,232",4.39,"92,21,441","53,287",-19.15%
202309,1PH ,"RKP, HKS",2550,MOTI BAGH,"6,748",9.25,"20,91,098","26,472",3.76,"23,43,657","12,251",-59.35%
202309,1PH ,"RKP, HKS",2550,R.K. PURAM,"15,293",3.24,"40,74,873","17,533",1.88,"44,10,666","11,356",-41.98%
202309,1PH ,"RKP, HKS",2550,VASANT VIHAR,"16,614",5.31,"45,01,490","31,295",2.39,"49,11,344","15,783",-54.99%
202309,1PH ,"RKP, HKS",2551,ANDREWS GANJ POLICE COLONY,"13,452",2.44,"49,02,571","17,090",2.12,"53,02,138","16,732",-13.11%
202309,1PH ,"RKP, HKS",2551,GREEN PARK,"11,986",3.03,"41,65,813","17,715",1.41,"45,66,462","9,045",-53.47%
202309,1PH ,"RKP, HKS",2551,KATWARIA SARAI,"6,057",2.88,"18,20,325","7,605",2.74,"20,28,175","7,944",-4.86%
202309,1PH ,"RKP, HKS",2551,RBI HAUZ KHAS,"5,729",4.16,"21,87,817","13,179",1.79,"23,43,841","5,660",-56.97%
202309,1PH ,SKT,2520 - ( R ),AAYA NAGAR,"12,876",5.84,"33,28,528","26,847",6.70,"37,53,757","36,499",14.73%
202309,1PH ,SKT,2520 - ( R ),CHATARPUR,"24,624",10.37,"74,23,064","1,09,208",9.29,"84,77,264","1,10,308",-10.41%
202309,1PH ,SKT,2520 - ( R ),FATEHPUR BERI,"14,416",18.67,"40,77,774","93,722",14.71,"46,06,287","93,202",-21.21%
202309,1PH ,SKT,2520 - ( R ),JAUNAPUR,"10,824",7.06,"30,85,844","28,715",5.94,"34,47,706","27,379",-15.86%
202309,1PH ,SKT,2520 - ( U ),MALVIYA NAGAR,"25,724",2.98,"85,03,982","34,249",2.61,"93,43,369","32,268",-12.42%
